,Job Title,Company Name,Location,Posted Date,Job Link
56,Data Analyst (Credit Risk),WeNetwork,"Jakarta Raya, Indonesia",2023-09-07,https://id.linkedin.com/jobs/view/analyst-workday-hcm-functional-data-id-at-deloitte-3715805542?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=3qG6rbnXt29ZVLXRqLdLhQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
57,Jr. Data Engineer (Talent Pool),Staffinc Group,Jakarta,2023-07-05,https://id.linkedin.com/jobs/view/senior-data-analyst-at-fazz-3673089691?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=xPfZZOKpwRs8I22nzBbXiQ%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
58,Data Governance Analyst,PT Bank Mayapada Internasional Tbk,Jakarta,2023-08-15,https://id.linkedin.com/jobs/view/internship-data-engineer-at-hukumonline-com-3727306141?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=qK1%2BKWOO9rT%2Fe41ZMtzSJA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
59,Data Governance Analyst,PT Bank Mayapada Internasional Tbk,Jakarta,2023-08-15,https://id.linkedin.com/jobs/view/business-intelligence-analyst-corporate-strategy-at-mekari-3723294355?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=CBRMoHgjNCTWvvCe5r4ZuA%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
60,"Data Engineer (Data Warehouse), Business Intelligence",Shopee,"Jakarta Raya, Indonesia",2023-09-28,https://id.linkedin.com/jobs/view/data-engineer-at-horego-3710661516?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=yp6uRRLgMhmXE1FyJdRv%2Bg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
61,Data Analyst - Fraud Forensics,Xendit,Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/business-intelligence-analyst-digital-banking-business-seabank-at-seabank-indonesia-3611204897?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=3Rk%2FKcmsLBnrqOu9EPLP3w%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
62,Analyst - Workday HCM Functional/ Data - ID,Deloitte,Jakarta,2023-09-18,https://id.linkedin.com/jobs/view/customer-loyalty-sla-control-tower-data-analyst-at-ninja-van-3688883670?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=EmoRyWXLwGGrqR5WWsp5tg%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
63,Senior Data Analyst,Fazz,Jakarta,2023-07-22,https://id.linkedin.com/jobs/view/data-analyst-at-turing-3705286338?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=MdwFouVGLd%2FMCcqVD5wtpg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
64,Internship Data Engineer,Hukumonline.com,Jakarta,2023-09-26,https://id.linkedin.com/jobs/view/data-engineer-at-zenius-3697999510?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=SpPXHCHgjIwn9S5ujjwqIg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
65,Business Intelligence Analyst (Corporate Strategy),Mekari,Jakarta,2023-09-20,https://id.linkedin.com/jobs/view/analytics-engineer-at-bithealth-3722494647?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=bwtJKfejhAx9AdaK%2FsHkrQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
66,Data Engineer,Horego,Area DKI Jakarta,2023-09-05,https://id.linkedin.com/jobs/view/ground-transport-data-analyst-at-traveloka-3607792851?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=zz2NBXDle5axlZJBGnJ23Q%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
